objectid,globalid,historic_i,lotblock,street,address,shape_leng_1,Neighborhood,alternativ,name,provided_a,shape_area,shape_length
1,f9546336-d207-43ae-a126-290e4600f356,Perry High School/Traditional Academy,0115D00319000000,Perrysville Ave,3875 Perrysville Ave,618.5160803,Perry North,,Perry High School/Traditional Academy,,240705.1146,2364.538512
2,4b488275-8971-47e7-b17d-842c4becf1c4,Lowen-Shaffer House,0016G00082000000,Lowenhill St,311 Lowenhill St,1449.872047,Beechview,,Lowen-Shaffer House,,78531.40582,1449.872381
4,f7e6286b-dc4c-4314-b41e-75f0921e3634,Willow Cottage (Howes-Child Gatehouse) Chatham Co*,0085B00038000000,Fifth Ave,5918 Fifth Ave,610.9108448,Shadyside,,Willow Cottage (Howes-Child Gatehouse) Chatham Co*,,21545.6123,611.7473301
5,57c72334-fec7-47bc-9cda-8bf4f405154a,Fairhaven Church,0138B00291000003,Saw Mill Run Blvd,2415 Saw Mill Run Blvd,609.0523995,Overbrook,,Fairhaven Church,,20479.24847,609.0537149
6,d2b6c6f4-41b2-461e-a387-9cdd1f311eb8,Arsenal Junior High School (Arsenal Middle School),0049E00245000000,39th-40th,215 39th - 220 40th,1709.225257,Lower Lawrenceville,,Arsenal Junior High School (Arsenal Middle School),3901 Butler St,174691.0069,1709.225292
7,50c47551-13ce-433f-b323-a907f79c3cf1,Colfax Elementary School,0128A00056000001,Beechwood Blvd,2332 Beechwood Blvd,1589.902918,Squirrel Hill,,Colfax Elementary School,,130808.801,1589.902842
8,831f55da-b9fd-4e66-8dcb-6237412c1b68,August Wilson House,0009S00036000000,Bedford Ave,1727 Bedford Ave,289.7678603,Crawford-Roberts,,August Wilson House,,5480.933044,330.9750682
9,911213a3-0d27-49bd-9dc2-00b554fae3d8,Mackintosh Hemphill Buildings,0003G00214000000,Bingham St,901 Bingham St,223.3836133,South Side Flats,,Mackintosh Hemphill Buildings,,10933.5929,500.427687
10,d7ae69f7-79e0-4eff-8b78-cc111df524ff,Turney House,0049B00079000000,43rd St,160 43rd St,196.1148286,Lower Lawrenceville,,Turney House,,1856.039673,189.3986256
11,ed1295ce-a7ce-4ace-977f-77d4eee6dc63,Byers Hall,0008E00248000000,Ridge Ave,450 Ross St,824.3170633,Central Business District,,Byers Hall,,35051.84888,824.3171957
12,88a62774-43a1-4ffb-b5f6-744d148a07b3,Moreland-Hoffstot House,0052G00106000000,5th Ave,5057 5th Ave,713.0648317,Shadyside,,Moreland-Hoffstot House,,28593.9505,713.065395
13,7c4fa44e-4946-45ff-bb95-4c2660c958cd,Greenfield Elementary School,0054K00230000000,Alger St,1 Alger St,2188.349984,Greenfield,,Greenfield Elementary School,,366000.606,3387.998956
14,bc306269-197e-4870-9d83-9e6f8d8b1d7d,Calvary Methodist Church,0007D00070000000,Allegheny Ave,920 Allegheny Ave,729.9482988,East Allegheny,,Calvary Methodist Church,,31186.95245,729.9482499
15,01c48708-176a-44dd-ae3a-9c139bead14a,Mamaux Building,0001G00125000000,1st Ave,123 1st Ave,394.5398211,Central Business District,,Mamaux Building,121-23 1St Ave,7097.369507,423.9537321
16,c9c53a93-e26a-49e4-a285-deb4d3b83214,Immanuel Church,0024J00229000001,Tripoli St,810 Tripoli St,285.4049623,Central Northside,1000 Madison Ave,Immanuel Church,,4343.681824,285.4057894
17,0bab144a-2ff8-469a-90b7-66ba3009ba87,The Waldorf School of Pittsburgh (Victoria Hall )*,0050P00183000000,S Winebiddle St,201 S Winebiddle St,1310.765106,Bloomfield,,The Waldorf School of Pittsburgh (Victoria Hall ),,82149.04346,1310.765369
18,e4d0596d-1235-4038-9897-2ca61e9a9589,Beltzhoover Elementary School,0015M00131000000,Cedarhurst St,320 Cedarhurst St,1050.8342,South Side Flats,,Beltzhoover Elementary School,,60507.89874,1050.834325
19,3a1e0eb5-01d5-4fe0-bbbd-83c89ca2650c,New Granada Theater (Pythian Temple),0010N00261000000,Centre Ave,2007 Centre Ave,466.7900052,Middle Hill,,New Granada Theater (Pythian Temple),2009-13 Centre Ave,10987.17572,466.7904719
20,9a94eefd-7ed9-4a15-b98b-8e05a041feea,Workingmen's Savings Bank,0024N00142000000,E Ohio St,800 E Ohio St,633.5690153,East Allegheny,,Workingmen's Savings Bank,,7951.524475,401.0330674
21,087f0768-d4dd-4322-8838-2cefc545b6c0,Allegheny County Morgue / Mortuary,0002J00044000000,4th Ave,542 4th Ave,507.2589332,Central Business District,,Allegheny County Morgue / Mortuary,,13898.99481,507.2588644
22,b0ce3ad7-537a-44e8-b9df-44485df164e9,4830 Hatfield St,0080F00160000000,Hatfield St,4836 Hatfield St,374.2777055,Central Lawrenceville,,4830 Hatfield St,4830 hatfield St,8368.359924,366.9641957
23,8a559588-e36a-434b-89a8-e5665ff98e62,Card Estate Carraige House,0126H00102000000,Card Ln,7122-7128 Card Ln,350.2507625,Point Breeze,,Card Estate Carraige House,,7506.034424,350.2505524
24,8d43d65a-119a-4e21-95f6-d4a6afc64d70,Pittsburgh Wash House,0048S00235000000,Butler St,3495 Butler St,246.4737049,Lower Lawrenceville,,Pittsburgh Wash House,,2535.356079,246.4735018
25,62c9eb97-e6c5-4255-8a73-cf3a3de21633,Lemington Elementary School,0173A00176000000,Lemington Ave,7061 Lemington Ave,1656.187693,Lincoln-Lemington-Belmar,,Lemington Elementary School,7060 Lemington Ave,118037.4273,1656.187861
26,b1f671f3-1bee-4c5e-9ee6-e1eb9c5d76a6,Naser's Tavern,0049F00010000000,Butler St,4045-4065 Butler St,500.0000861,Central Lawrenceville,,Naser's Tavern,4025-4029 Butler St,14995.43304,499.9999991
27,c9d7eb78-c75a-4279-83e8-6180c0f8c2a8,Fifth Ave High School Building,0011J00002000000,5th Ave,1800 5th Ave,1007.285677,Bluff,,Fifth Ave High School Building,,45592.47449,1007.286019
28,52e19414-d98e-4890-81bb-36d330247f64,Old Heidelberg Apartments & Cottages,0175N00206000000,S Braddock Ave,401 S Braddock Ave,768.417551,Point Breeze,,Old Heidelberg Apartments & Cottages,401-425 Braddock Ave (South),31036.13641,768.4176724
29,6d846019-63ad-42be-8691-22ca5c83ac01,Wigman House,0060G00168000000,Brownsville Rd,1425 Brownsville Rd,314.607346,Carrick,,Wigman House,,5404.146393,314.607552
30,b71f7652-ac07-4c08-999d-b8c7499d8285,Friendship Elementary School (formerly Liberty Sc*,0051D00087000000,S Graham St,201 S Graham St,1370.308233,Friendship,,Friendship Elementary School (formerly Liberty Sc*,5501 Friendship Ave,116280.9404,1370.307996
31,dcd08eb1-f1eb-4e9f-9690-b7df67491ac5,Lincoln Elementary (Mary Lou Williams Marker),0125A00104000000,Lincoln Ave,328 Lincoln Ave,1168.663114,Larimer,,Lincoln Elementary (Mary Lou Williams Marker),,68136.52167,1163.523917
32,95986ea4-1a57-4384-8ba8-fa8bfdcf8c36,Carnegie Library,0023R00157000000,Allegheny Sq,6 Allegheny Sq,829.5037336,Allegheny Center,,Carnegie Library,,42959.32452,829.5041696
33,0e5f8785-3668-4929-9381-63fc0620d38e,Peterson House,0080P00160000000,46th St,172 46th St,231.8064196,Central Lawrenceville,,Peterson House,,1951.768311,231.806436
34,8a2aa4f5-262e-4dbb-9f92-7b604914cf57,South Side Market House,0003H00202000000,Bingham St,1201 Bingham St,464.3404821,South Side Flats,,South Side Market House,1121 Bedfordv Sq,11761.04367,464.3406942
35,5db64b40-6b4f-4c4c-83a5-9cad10232d40,Madison Elementary School (formerly Minersville P*,0026P00280000000,Milwaukee St,3401 Milwaukee St,929.6319298,Polish Hill,,Madison Elementary School (formerly Minersville P*,,35747.28735,929.6326408
36,7fc4d584-65cd-40d0-8516-508c6c766400,Allegheny County Courthouse & Jail,0002E00251000000,Grant AVe,436 Grant Ave,1086.586314,Central Business District,,Allegheny County Courthouse & Jail,,72147.32068,1086.586375
37,2814fff8-09ee-454e-9af3-189c0bdadc14,David P. Oliver High School,0045P00225000000,Brighton Rd,2323 Brighton Rd,3680.814689,Brighton Heights,,David P. Oliver High School,,619569.6976,3680.814555
38,c99e1013-1508-4f3c-84da-ffdddc78eeb3,Jones Hall,0008A00159000000,Rridge Ave,808 Ridge Ave,485.6519767,Allegheny West,,Jones Hall,701 Brighton Rd,9535.993469,485.6526258
39,fbf314e9-1149-44b3-8117-eecf86d41dd7,National Negro Opera Company,0173N00087000000,Apple St,7101 Apple St,778.7864074,Homewood North,,National Negro Opera Company,,35625.84644,778.7861046
40,d5c6e258-47c0-4dca-adbb-68196cf0f86d,Emmanual Episcopal Church,0022S00131000002,W North Ave,957 W North Ave,352.7715803,Allegheny West,,Emmanual Episcopal Church,,7610.887817,352.7712622
41,cffbd129-0c25-4001-a8d7-a3d431c0eeb9,Mifflin Elementary School,0184J00032000000,Mifflin Rd,1290 Mifflin Rd,2650.856348,Lincoln Place,,Mifflin Elementary School,,295224.909,2650.856095
42,c12b5736-6b63-40c4-abb5-dc1f37ce1b3e,Paramount Pictures Film Exchange,0011J00328000000,Miltenberger St,544 Miltenberger St,328.3009219,Bluff,,Paramount Pictures Film Exchange,,5445.490723,328.3009703
43,47c078ae-7ed5-47ef-a74c-5102a3a57959,Allegheny Arsenal Area,0049K00062000000,Penn Ave,3901 Penn Ave,1970.161676,Lower Lawrenceville,,Allegheny Arsenal Area,3901-3959 Penn Ave,218940.6254,1970.161586
44,40a28298-0a3a-4638-ac95-f6b2081123ab,"Westinghouse High School (William ""Billy"" Strayho*",0125D00200000000,N Murtland St,1101 N Murtland St,2709.174761,Homewood West,,"Westinghouse High School (William ""Billy"" Strayho*",,367518.2697,2709.178515
45,4eea951b-0120-4f42-9d9b-3c5a269cf102,Woolslair Elementary Gifted Center,0049R00023000000,Cabinet St,4067 Cabinet St,260.3003067,Bloomfield,,Woolslair Elementary Gifted Center,,2521.242676,260.3011743
46,90476e05-d203-411f-9149-388991fe9c29,St. Mary's Academy,0049C00114000000,46th St,340 46th St,776.538897,Central Lawrenceville,,St. Mary's Academy,,29639.98395,776.538807
47,371e2f93-87e1-4888-b7de-4404f7c23ae1,Engine Company No. 28,0052D00346000000,Filbert St,700 Filbert St,,Shadyside,,Engine Company No. 28,,10518.93689,411.2879783
48,637b9198-260a-4125-b142-400e07630550,Shrine of Saint Anthony Padua (Most Holy Name of *,0047S00271000000,Tinsbury St,1515 Tinsbury St,855.2495239,Troy Hill,,Shrine of Saint Anthony Padua (Most Holy Name of *,,41018.94177,855.2489709
49,d38bafae-ed65-4c20-9767-50728e3fbe61,Stevens Elementary School (formerly Thaddeus Stev*,0019C00166000000,Crucible St,822 Crucible St,1043.537378,Elliott,,Stevens Elementary School (formerly Thaddeus Stev*,824 Crucible St,63281.57013,1043.537586
50,92351444-623d-4887-986f-4d8efa642c24,Malta Temple,0023K00411000000,W North Ave,102 W North Ave,442.4505856,Allegheny Center,,Malta Temple,100 W North Ave,7885.140564,442.4510045
51,f63cb216-4415-4ae4-8e1f-22c03b1cf8d5,Soldier's and Sailor's Memorial Hall,0027R00078000200,5th Ave,4101 5th Ave,1172.155468,North Oakland,,Soldier's and Sailor's Memorial Hall,4141 5th Ave,158157.567,1680.521127
52,18dc8b28-01b0-48d2-bbc1-0ce457b2babc,Garden Theatre,0023L00083000000,W North Ave,22-32 W North Ave,493.9993652,Allegheny Center,,Garden Theatre,12 W North Ave,11843.60303,493.9994176
54,8ba31ec6-aa3b-4964-935e-8ab7b6f272b1,Carrick Municipal Hall,0060L00241000000,Brownsville Rd,1806 Brownsville Rd,282.4761813,Carrick,,Carrick Municipal Hall,,3158.613342,282.4756035
55,f313e4ec-9b89-4b01-a5e0-04be3904eed5,Buhl Planetarium & Institute of Popular Science (*,0023R00104000000,Allegheny Sq,1 Allegheny Ave,810.2105563,North Shore,,Buhl Planetarium & Institute of Popular Science,,37471.66559,810.2098024
56,d972f869-d7fc-4e39-8d5a-2f7ddbd77f99,Woolslair Elementary School,0049R00236000000,40th St,501 40th St,732.5507761,Bloomfield,,Woolslair Elementary School,,32397.37634,732.5511065
57,7ca996fd-1f07-48e8-9b11-4b42b910b613,Sterrett Classical Academy (formerly Sterrett Sch*,0126L00170000000,Reynolds St,7100 Reynolds St,1325.882586,Point Breeze,,Sterrett Classical Academy (formerly Sterrett Classical Academy),,105148.4697,1325.881623
58,1b5f38a0-b29f-4f0b-ba6a-e03b190e4914,Monongahela Incline,0006H00031000000,Grandview Ave,1225 Grandview Ave,776.2736435,Mount Washington,,Monongahela Incline,,23815.99466,776.2741755
59,e71760ab-9131-4b74-9e1d-52714b0a6c12,"Carnegie Library of Pittsburgh, Lawrenceville Bra*",0049F00160000002,Fisk St,279 Fisk St,408.3336272,Central Lawrenceville,,"Carnegie Library of Pittsburgh, Lawrenceville Branch",,10029.56848,408.3327549
60,4a80f2ca-bb85-424d-b7b3-b3a933ecb977,Sheridan Homestead,0042S00014000000,Bergman St,2803 Bergman St,301.7858954,Sheraden,,Sheridan Homestead,,5121.952881,301.7860045
61,fc7ed799-fc23-4e23-8b9e-648495cc7769,Station Square,0001R00110000000,W Station Square Dr,100 W Station Square Dr,740.9566379,South Shore,,Station Square,,34744.311,740.9563253
62,ccab8d36-d7aa-452a-adff-bb8f3544c532,Centre Avenue YMCA (Frank Bolden Marker) (Robert *,0010M00154000000,Centre Ave,2621 Centre Ave,562.3681638,Middle Hill,,Centre Avenue YMCA (Frank Bolden Marker),,19413.74164,562.36801
63,a003cb71-a4b5-4f4f-a441-444c7464a359,Concord Elementary School,0095M00340000000,Brownsville Rd,2350 Brownsville Rd,1346.1822,Carrick,,Concord Elementary School,2340 Brownsville Rd,121002.2635,1346.182838
64,2c47b76e-2ea1-4f35-a64d-fd19596e6195,John Woods House,0055P00037000000,Monongahela St,4604 Monongahela St,325.0595957,Hazelwood,,John Woods House,,5863.956696,325.0601382
65,1e72afdb-20e4-4c43-a4f9-e6f999bafa17,Baywood  (The King Estate),0082F00300000000,Elgin St,5501 Elgin St,1248.289626,Highland Park,,Baywood  (The King Estate),,79371.90356,1248.271172
66,b73f7147-ecda-4cc4-88ea-f4cfe7a9d17d,Synder House,0008A00184000000,Ridge Ave,850 Ridge Ave,448.4936693,Allegheny West,,Synder House,850-854 Ridge Ave,12236.86652,448.4947761
67,a7464242-f14b-4345-9965-edbd0a8a4d92,Monongahela Incline/Upper Street Station,0004C00063000000,,,803.7487301,Mount Washington,,Monongahela Incline/Upper Street Station,,63735.90173,1724.132027
68,d9871794-2b5a-4474-b31b-93275c56d269,Aberlie House,0023L00258000000,E North Ave,122 E North Ave,343.4972255,Allegheny Center,,Aberlie House,,6760.095825,343.4975077
69,d6f56550-e8a5-42a6-bced-87454cf2a480,"Carnegie Library or Pittsburgh, Mount Washington *",0001P00044000000,Grandview Ave,315 Grandview Ave,513.0617254,South Shore,,"Carnegie Library or Pittsburgh, Mount Washington Branch)",,14922.65366,508.8667088
70,e901995f-75fe-4ef1-bb04-a2a8cf8d9be2,Walton House,0080P00068000000,Plummer St,4412 Plummer St,113.2236873,Central Lawrenceville,,Walton House,4412-4414 Plummer St,772.3321533,113.2241516
71,24835acc-4f4e-44bf-9f9b-413b005fd0f9,Allegheny County Jail (next to courthouse),0002F00259000000,Ross St,440 Ross St,1027.837583,Central Business District,,Allegheny County Jail (next to courthouse),450 Ross St,69809.38763,1027.837678
72,8a7dcee6-8ba6-4303-9b81-8205e4797a20,Mellon National Bank Building,0002E00030000000,Smithfield St,500 Smithfield St,721.1705588,Central Business District,,Mellon National Bank Building,,29230.89447,721.1706819
